link,feed_type
https://feeds.feedburner.com/ndtvnews-latest,title
https://indianexpress.com/section/news-today/feed/,title
https://indianexpress.com/section/world/feed/,title
https://www.news18.com/commonfeeds/v1/eng/rss/india.xml,title
https://www.news18.com/commonfeeds/v1/eng/rss/world.xml,title
https://www.cnbctv18.com/commonfeeds/v1/cne/rss/latest.xml,title
https://www.cnbctv18.com/commonfeeds/v1/cne/rss/india.xml,title
https://www.cnbctv18.com/commonfeeds/v1/cne/rss/world.xml,title
https://www.hindustantimes.com/feeds/rss/india-news/rssfeed.xml,title
https://www.hindustantimes.com/feeds/rss/world-news/rssfeed.xml,title
https://www.hindustantimes.com/feeds/rss/latest/rssfeed.xml,title
https://www.thehindu.com/news/national/feeder/default.rss,title
https://www.thehindu.com/news/international/feeder/default.rss,title
https://www.firstpost.com/commonfeeds/v1/mfp/rss/india.xml,title
https://www.firstpost.com/commonfeeds/v1/mfp/rss/business.xml,title
https://www.firstpost.com/commonfeeds/v1/mfp/rss/world.xml,title
https://www.deccanchronicle.com/feed,title
